# source: derived from data/processed/wtw_agg_2017_2024.csv (CEPII BACI HS17 V202601, Etalab 2.0),
#         data/processed/wdi_gdp_1995_2024.csv (World Bank WDI NY.GDP.MKTP.CD),
#         data/processed/us_import_shares.csv (US Census FT900 country workbook)
# built: 2026-07-30
# script: analysis/21_actuals_metrics.py
# schema: block,metric,period,entity,value,unit  (tidy long; period = year or window '2018->2024')
# units: busd = billions of current USD; pct = percent; pp = percentage points; hhi on 0-10,000 scale
# conventions: trade share=(exp+imp)/(2*world); ASEAN10 gross incl. intra-bloc; betweenness on directed
#   graph with distance=1/value (Dijkstra, normalized); gravity = per-year OLS ln(v_ij)~ln(gdp_i)+ln(gdp_j)
#   (numpy lstsq, no distance term -- DESCRIPTIVE residual, not the published model); WDI-missing
#   economies (TWN, PRK, ...) excluded from GDP-based blocks -- TWN is the only top-15 trader affected
# note: BACI mirror-consistent FOB values; levels differ from US Census customs-basis imports by ~1pp
#   of share -- the (MEX+ASEAN10)-CHN gap is computed on BOTH bases in block 'us_import_gap'
# caveat: countries with betweenness exactly 0 form a tie group (rank = first tied rank, method='min');
#   MEX and VNM are 0 in BOTH 2018 and 2024 (they lie on no weighted shortest paths) -- their
#   'betweenness_rank_shift' rows are tie artifacts, not real movement; see world-block
#   'betweenness_nonzero_countries' for the size of the ranked (nonzero) set
block,metric,period,entity,value,unit
world,total_trade_busd,2017,WORLD,17034.895051623,busd
world,active_dyads,2017,WORLD,26469.0,count
world,top20_exporter_share_pct,2017,WORLD,71.37755427187994,pct
world,exporter_hhi,2017,WORLD,476.56456514907836,hhi
country,exports_busd,2017,USA,1475.305122924,busd
country,imports_busd,2017,USA,2274.243094334,busd
country,exports_busd,2017,CHN,2475.618567416,busd
country,imports_busd,2017,CHN,1508.184231435,busd
country,exports_busd,2017,MEX,417.693598638,busd
country,imports_busd,2017,MEX,368.248998569,busd
country,exports_busd,2017,ASEAN10,1299.595788336,busd
country,imports_busd,2017,ASEAN10,1197.185849566,busd
world,total_trade_busd,2018,WORLD,19040.248976205,busd
world,active_dyads,2018,WORLD,29225.0,count
world,top20_exporter_share_pct,2018,WORLD,69.78968743597552,pct
world,exporter_hhi,2018,WORLD,455.6694865571878,hhi
country,exports_busd,2018,USA,1594.576356039,busd
country,imports_busd,2018,USA,2473.775439531,busd
country,exports_busd,2018,CHN,2706.552503506,busd
country,imports_busd,2018,CHN,1740.578365731,busd
country,exports_busd,2018,MEX,468.909251965,busd
country,imports_busd,2018,MEX,408.240304652,busd
country,exports_busd,2018,ASEAN10,1514.072360615,busd
country,imports_busd,2018,ASEAN10,1457.913510113,busd
world,total_trade_busd,2019,WORLD,18503.756735484,busd
world,active_dyads,2019,WORLD,30445.0,count
world,top20_exporter_share_pct,2019,WORLD,69.87922161830552,pct
world,exporter_hhi,2019,WORLD,456.9533427211484,hhi
country,exports_busd,2019,USA,1556.474163361,busd
country,imports_busd,2019,USA,2423.322954992,busd
country,exports_busd,2019,CHN,2648.932668178,busd
country,imports_busd,2019,CHN,1681.801648045,busd
country,exports_busd,2019,MEX,480.972503042,busd
country,imports_busd,2019,MEX,398.100332653,busd
country,exports_busd,2019,ASEAN10,1503.371607432,busd
country,imports_busd,2019,ASEAN10,1413.177669558,busd
world,total_trade_busd,2020,WORLD,17160.716192199,busd
world,active_dyads,2020,WORLD,30558.0,count
world,top20_exporter_share_pct,2020,WORLD,70.599252987544,pct
world,exporter_hhi,2020,WORLD,483.3416217560735,hhi
country,exports_busd,2020,USA,1373.146197397,busd
country,imports_busd,2020,USA,2280.859941457,busd
country,exports_busd,2020,CHN,2652.609328588,busd
country,imports_busd,2020,CHN,1634.462494481,busd
country,exports_busd,2020,MEX,435.342594802,busd
country,imports_busd,2020,MEX,337.319146364,busd
country,exports_busd,2020,ASEAN10,1461.728544213,busd
country,imports_busd,2020,ASEAN10,1307.085513068,busd
world,total_trade_busd,2021,WORLD,21531.492371413,busd
world,active_dyads,2021,WORLD,31608.0,count
world,top20_exporter_share_pct,2021,WORLD,69.68547873100978,pct
world,exporter_hhi,2021,WORLD,473.09715414970856,hhi
country,exports_busd,2021,USA,1679.274372944,busd
country,imports_busd,2021,USA,2773.520428753,busd
country,exports_busd,2021,CHN,3342.500287192,busd
country,imports_busd,2021,CHN,2110.104824139,busd
country,exports_busd,2021,MEX,513.516163027,busd
country,imports_busd,2021,MEX,459.380788821,busd
country,exports_busd,2021,ASEAN10,1817.468823177,busd
country,imports_busd,2021,ASEAN10,1628.990477092,busd
world,total_trade_busd,2022,WORLD,24184.0902643,busd
world,active_dyads,2022,WORLD,31648.0,count
world,top20_exporter_share_pct,2022,WORLD,68.09233618882064,pct
world,exporter_hhi,2022,WORLD,452.29324016962806,hhi
country,exports_busd,2022,USA,1977.378305885,busd
country,imports_busd,2022,USA,3183.100037108,busd
country,exports_busd,2022,CHN,3632.116604501,busd
country,imports_busd,2022,CHN,2198.073889148,busd
country,exports_busd,2022,MEX,593.239289703,busd
country,imports_busd,2022,MEX,530.551901836,busd
country,exports_busd,2022,ASEAN10,2076.227034785,busd
country,imports_busd,2022,ASEAN10,1873.56964261,busd
world,total_trade_busd,2023,WORLD,22937.839746496,busd
world,active_dyads,2023,WORLD,31676.0,count
world,top20_exporter_share_pct,2023,WORLD,68.45865816125858,pct
world,exporter_hhi,2023,WORLD,458.57686893397096,hhi
country,exports_busd,2023,USA,1922.351990226,busd
country,imports_busd,2023,USA,2977.062637892,busd
country,exports_busd,2023,CHN,3423.058275245,busd
country,imports_busd,2023,CHN,2087.550193901,busd
country,exports_busd,2023,MEX,621.212442077,busd
country,imports_busd,2023,MEX,549.744032585,busd
country,exports_busd,2023,ASEAN10,1898.338219257,busd
country,imports_busd,2023,ASEAN10,1707.103677331,busd
world,total_trade_busd,2024,WORLD,22859.231618696,busd
world,active_dyads,2024,WORLD,29542.0,count
world,top20_exporter_share_pct,2024,WORLD,68.92628051028863,pct
