# source: BACI HS17 V202601 2024 aggregates; analysis/41_attack.py; built 2026-07-30
# metrics: lcc_node_share = |LCC|/remaining nodes (topology holds?);
#   lcc_share_of_surviving_weight = fragmentation of what survives;
#   lcc_share_of_original_weight = value destroyed+stranded (amputation view)
# betweenness distance = 1/ln(1+w); random band = 100 seeds p5-p95
strategy,metric,fraction_removed,value,p5,p95
targeted_strength,lcc_node_share,0.0,1.0,,
targeted_strength,lcc_share_of_surviving_weight,0.0,1.0,,
targeted_strength,lcc_share_of_original_weight,0.0,1.0,,
targeted_strength,lcc_node_share,0.02,1.0,,
targeted_strength,lcc_share_of_surviving_weight,0.02,1.0,,
targeted_strength,lcc_share_of_original_weight,0.02,0.3718857469941476,,
targeted_strength,lcc_node_share,0.04,1.0,,
targeted_strength,lcc_share_of_surviving_weight,0.04,1.0,,
targeted_strength,lcc_share_of_original_weight,0.04,0.26354469880950715,,
targeted_strength,lcc_node_share,0.06,1.0,,
targeted_strength,lcc_share_of_surviving_weight,0.06,1.0,,
targeted_strength,lcc_share_of_original_weight,0.06,0.1754940356850824,,
targeted_strength,lcc_node_share,0.08,1.0,,
targeted_strength,lcc_share_of_surviving_weight,0.08,1.0,,
targeted_strength,lcc_share_of_original_weight,0.08,0.12696401081750625,,
targeted_strength,lcc_node_share,0.1,1.0,,
targeted_strength,lcc_share_of_surviving_weight,0.1,1.0,,
targeted_strength,lcc_share_of_original_weight,0.1,0.08407637100046303,,
targeted_strength,lcc_node_share,0.12,1.0,,
targeted_strength,lcc_share_of_surviving_weight,0.12,1.0,,
targeted_strength,lcc_share_of_original_weight,0.12,0.053949981622144774,,
targeted_strength,lcc_node_share,0.14,1.0,,
targeted_strength,lcc_share_of_surviving_weight,0.14,1.0,,
targeted_strength,lcc_share_of_original_weight,0.14,0.03655936920655225,,
targeted_strength,lcc_node_share,0.16,1.0,,
targeted_strength,lcc_share_of_surviving_weight,0.16,1.0,,
targeted_strength,lcc_share_of_original_weight,0.16,0.024535735154207015,,
targeted_strength,lcc_node_share,0.18,1.0,,
targeted_strength,lcc_share_of_surviving_weight,0.18,1.0,,
targeted_strength,lcc_share_of_original_weight,0.18,0.0191741962565583,,
targeted_strength,lcc_node_share,0.2,1.0,,
