# source: sum of big4_capex_quarterly.csv (MSFT+GOOGL+AMZN+META), quarters where all four present
# pulled: 2026-07-30
# script: analysis/03_pull_sec_capex.py
# units: US dollars per calendar quarter; yoy_pct = combined vs same quarter prior year
calendar_quarter,capex_usd_total,yoy_pct
2019Q1,14330000000,nan
2019Q2,17372000000,nan
2019Q3,18346000000,nan
2019Q4,19009000000,nan
2020Q1,20125000000,40.44
2020Q2,20849000000,20.01
2020Q3,25065000000,36.62
2020Q4,29137000000,53.28
2021Q1,27416000000,36.23
2021Q2,30877000000,48.10
2021Q3,32723000000,30.55
2021Q4,36583000000,25.56
2022Q1,35518000000,29.55
2022Q2,36995000000,19.81
2022Q3,39312000000,20.14
2022Q4,39259000000,7.31
2023Q1,33926000000,-4.48
2023Q2,33420000000,-9.66
2023Q3,36947000000,-6.02
2023Q4,42934000000,9.36
2024Q1,44289000000,30.55
2024Q2,52852000000,58.14
2024Q3,58862000000,59.31
2024Q4,72339000000,68.49
2025Q1,71902000000,62.35
2025Q2,88246000000,66.97
2025Q3,97271000000,65.25
2025Q4,118632000000,63.99
2026Q1,129750000000,80.45
