# source: SEC EDGAR XBRL companyconcept API, cash-flow capex concepts per company: MSFT=us-gaap:PaymentsToAcquirePropertyPlantAndEquipment; GOOGL=us-gaap:PaymentsToAcquirePropertyPlantAndEquipment; AMZN=us-gaap:PaymentsToAcquireProductiveAssets; META=us-gaap:PaymentsToAcquirePropertyPlantAndEquipment ; CIKs MSFT 0000789019 / GOOGL 0001652044 / AMZN 0001018724 / META 0001326801
# pulled: 2026-07-30
# script: analysis/03_pull_sec_capex.py
# units: US dollars per single calendar quarter; 10-Q fiscal-YTD values differenced within fiscal year (method column: direct 3-month fact vs ytd-diff); calendar quarter = period end date (MSFT June-FY periods mapped to calendar quarters this way). Excludes finance leases.
calendar_quarter,company,capex_usd,method
2019Q1,AMZN,3290000000,direct
2019Q1,GOOGL,4638000000,direct
2019Q1,META,3837000000,direct
2019Q1,MSFT,2565000000,direct
2019Q2,AMZN,3562000000,direct
2019Q2,GOOGL,6126000000,direct
2019Q2,META,3633000000,ytd-diff
2019Q2,MSFT,4051000000,ytd-diff
2019Q3,AMZN,4697000000,direct
2019Q3,GOOGL,6732000000,direct
2019Q3,META,3532000000,ytd-diff
2019Q3,MSFT,3385000000,direct
2019Q4,AMZN,5312000000,ytd-diff
2019Q4,GOOGL,6052000000,ytd-diff
2019Q4,META,4100000000,ytd-diff
2019Q4,MSFT,3545000000,direct
2020Q1,AMZN,6795000000,direct
2020Q1,GOOGL,6005000000,direct
2020Q1,META,3558000000,direct
2020Q1,MSFT,3767000000,direct
2020Q2,AMZN,7459000000,direct
2020Q2,GOOGL,5391000000,direct
2020Q2,META,3255000000,ytd-diff
2020Q2,MSFT,4744000000,ytd-diff
2020Q3,AMZN,11063000000,direct
2020Q3,GOOGL,5406000000,direct
2020Q3,META,3689000000,ytd-diff
2020Q3,MSFT,4907000000,direct
2020Q4,AMZN,14823000000,ytd-diff
2020Q4,GOOGL,5479000000,ytd-diff
2020Q4,META,4661000000,ytd-diff
2020Q4,MSFT,4174000000,direct
2021Q1,AMZN,12082000000,direct
2021Q1,GOOGL,5942000000,direct
2021Q1,META,4303000000,direct
2021Q1,MSFT,5089000000,direct
2021Q2,AMZN,14288000000,direct
2021Q2,GOOGL,5496000000,ytd-diff
2021Q2,META,4641000000,ytd-diff
2021Q2,MSFT,6452000000,ytd-diff
2021Q3,AMZN,15748000000,direct
2021Q3,GOOGL,6819000000,ytd-diff
2021Q3,META,4346000000,ytd-diff
2021Q3,MSFT,5810000000,direct
2021Q4,AMZN,18935000000,ytd-diff
2021Q4,GOOGL,6383000000,ytd-diff
2021Q4,META,5400000000,ytd-diff
2021Q4,MSFT,5865000000,direct
2022Q1,AMZN,14951000000,direct
2022Q1,GOOGL,9786000000,direct
2022Q1,META,5441000000,direct
2022Q1,MSFT,5340000000,direct
2022Q2,AMZN,15724000000,direct
2022Q2,GOOGL,6828000000,ytd-diff
2022Q2,META,7572000000,ytd-diff
2022Q2,MSFT,6871000000,ytd-diff
2022Q3,AMZN,16378000000,direct
2022Q3,GOOGL,7276000000,ytd-diff
2022Q3,META,9375000000,ytd-diff
2022Q3,MSFT,6283000000,direct
2022Q4,AMZN,16592000000,ytd-diff
2022Q4,GOOGL,7595000000,ytd-diff
2022Q4,META,8798000000,ytd-diff
2022Q4,MSFT,6274000000,direct
2023Q1,AMZN,14207000000,direct
2023Q1,GOOGL,6289000000,direct
2023Q1,META,6823000000,direct
2023Q1,MSFT,6607000000,direct
2023Q2,AMZN,11455000000,direct
2023Q2,GOOGL,6888000000,ytd-diff
2023Q2,META,6134000000,ytd-diff
2023Q2,MSFT,8943000000,ytd-diff
2023Q3,AMZN,12479000000,direct
2023Q3,GOOGL,8055000000,ytd-diff
2023Q3,META,6496000000,ytd-diff
2023Q3,MSFT,9917000000,direct
2023Q4,AMZN,14588000000,ytd-diff
2023Q4,GOOGL,11019000000,ytd-diff
2023Q4,META,7592000000,ytd-diff
2023Q4,MSFT,9735000000,direct
2024Q1,AMZN,14925000000,direct
2024Q1,GOOGL,12012000000,direct
2024Q1,META,6400000000,direct
2024Q1,MSFT,10952000000,direct
2024Q2,AMZN,17620000000,direct
2024Q2,GOOGL,13186000000,ytd-diff
2024Q2,META,8173000000,ytd-diff
2024Q2,MSFT,13873000000,ytd-diff
2024Q3,AMZN,22620000000,direct
2024Q3,GOOGL,13061000000,ytd-diff
2024Q3,META,8258000000,ytd-diff
2024Q3,MSFT,14923000000,direct
2024Q4,AMZN,27834000000,ytd-diff
2024Q4,GOOGL,14276000000,ytd-diff
2024Q4,META,14425000000,ytd-diff
2024Q4,MSFT,15804000000,direct
2025Q1,AMZN,25019000000,direct
2025Q1,GOOGL,17197000000,direct
2025Q1,META,12941000000,direct
2025Q1,MSFT,16745000000,direct
2025Q2,AMZN,32183000000,direct
2025Q2,GOOGL,22446000000,ytd-diff
2025Q2,META,16538000000,ytd-diff
2025Q2,MSFT,17079000000,ytd-diff
2025Q3,AMZN,35095000000,direct
2025Q3,GOOGL,23953000000,ytd-diff
2025Q3,META,18829000000,ytd-diff
2025Q3,MSFT,19394000000,direct
2025Q4,AMZN,39522000000,ytd-diff
2025Q4,GOOGL,27851000000,ytd-diff
2025Q4,META,21383000000,ytd-diff
2025Q4,MSFT,29876000000,direct
2026Q1,AMZN,44203000000,direct
2026Q1,GOOGL,35674000000,direct
2026Q1,META,18997000000,direct
2026Q1,MSFT,30876000000,direct
2026Q2,GOOGL,44924000000,ytd-diff
2026Q2,MSFT,35802000000,ytd-diff
