# source: models/wtw_model.py ensemble (validated port), BACI 2020 init, WDI+WEO GDPs
# built: 2026-07-30
# script: analysis/40_counterfactual.py
# runs: 300, seeds 1000+, kappa median-matched; weights in model units
corridor,year,kind,p50,p5,p95
CHN-USA,2021,cf,1576909702193.9866,1319867540646.3838,1826340762638.688
CHN-VNM,2021,cf,372411711402.21094,355007418375.5623,392387083817.8764
CHN-MEX,2021,cf,164425822089.563,141803445435.43182,185187003256.54468
CHN-THA,2021,cf,197590060446.0271,188835231711.09943,206555889113.69885
MEX-USA,2021,cf,1420496404608.7227,1229996535708.673,1606043291283.2307
VNM-USA,2021,cf,224793621270.02277,214621333001.83447,236682375993.93643
THA-USA,2021,cf,117553927132.35564,112064720650.53299,122570492212.849
MYS-USA,2021,cf,137396520410.29962,125671029148.84564,150159099353.79446
IDN-USA,2021,cf,74833243947.21399,67018559542.228424,81481203108.27052
CHN-USA,2021,actual,1583829270280.0764,,
CHN-USA,2021,pctile_of_actual_in_cf,0.5366666666666666,,
CHN-VNM,2021,actual,421733356976.7069,,
CHN-VNM,2021,pctile_of_actual_in_cf,1.0,,
CHN-MEX,2021,actual,228057920308.67584,,
CHN-MEX,2021,pctile_of_actual_in_cf,1.0,,
CHN-THA,2021,actual,258407092529.00385,,
CHN-THA,2021,pctile_of_actual_in_cf,1.0,,
MEX-USA,2021,actual,1409636652086.0215,,
MEX-USA,2021,pctile_of_actual_in_cf,0.4633333333333333,,
VNM-USA,2021,actual,270957861061.574,,
VNM-USA,2021,pctile_of_actual_in_cf,1.0,,
THA-USA,2021,actual,144766733396.75717,,
THA-USA,2021,pctile_of_actual_in_cf,1.0,,
MYS-USA,2021,actual,152117636953.01004,,
MYS-USA,2021,pctile_of_actual_in_cf,1.0,,
IDN-USA,2021,actual,88509775027.60913,,
IDN-USA,2021,pctile_of_actual_in_cf,1.0,,
CHN-USA,2022,cf,1561903975150.669,1305975894614.0554,1850891197503.578
CHN-VNM,2022,cf,418731573865.0482,369073843333.7933,478652576233.6237
CHN-MEX,2022,cf,180941377343.5925,151396956316.44473,214335653694.98523
CHN-THA,2022,cf,197612661198.10883,184284541671.98685,211774011823.60693
MEX-USA,2022,cf,1593852283675.4019,1349582517933.204,1865894288377.41
VNM-USA,2022,cf,254314237962.48846,223739726373.92007,282842566022.9788
THA-USA,2022,cf,117244646884.302,109884821549.1779,125752905246.8135
MYS-USA,2022,cf,149649756426.03067,131786305382.05399,170298954885.37927
IDN-USA,2022,cf,83267784239.0848,71090775715.3375,94431381401.17665
CHN-USA,2022,actual,1656733366579.184,,
CHN-USA,2022,pctile_of_actual_in_cf,0.6533333333333333,,
CHN-VNM,2022,actual,442771706465.03015,,
CHN-VNM,2022,pctile_of_actual_in_cf,0.6966666666666667,,
CHN-MEX,2022,actual,249955285807.4773,,
CHN-MEX,2022,pctile_of_actual_in_cf,1.0,,
CHN-THA,2022,actual,270599676542.0733,,
CHN-THA,2022,pctile_of_actual_in_cf,1.0,,
MEX-USA,2022,actual,1661876563248.059,,
MEX-USA,2022,pctile_of_actual_in_cf,0.6566666666666666,,
VNM-USA,2022,actual,321635306436.00464,,
VNM-USA,2022,pctile_of_actual_in_cf,1.0,,
THA-USA,2022,actual,175064954729.24786,,
THA-USA,2022,pctile_of_actual_in_cf,1.0,,
MYS-USA,2022,actual,159404640485.3174,,
MYS-USA,2022,pctile_of_actual_in_cf,0.77,,
IDN-USA,2022,actual,103633528970.58698,,
IDN-USA,2022,pctile_of_actual_in_cf,1.0,,
CHN-USA,2023,cf,1574958154681.6343,1296562582746.3054,1848794275560.7842
CHN-VNM,2023,cf,418247359830.0682,370444478532.7675,480042180902.2384
CHN-MEX,2023,cf,220614624246.93835,172401640751.81137,275710162399.9103
CHN-THA,2023,cf,197372394010.79767,181897219362.21216,215345865002.571
MEX-USA,2023,cf,1951898536673.897,1507231507297.3728,2441626408350.815
VNM-USA,2023,cf,254701366375.11444,223543265495.66623,287397950518.668
THA-USA,2023,cf,117215144191.66696,108462125258.56233,127471105892.37009
MYS-USA,2023,cf,149671719615.99136,132311543933.06563,169855970926.82272
IDN-USA,2023,cf,83508712842.52745,69781741756.69714,95366488822.35475
CHN-USA,2023,actual,1352783758961.0483,,
CHN-USA,2023,pctile_of_actual_in_cf,0.11666666666666667,,
CHN-VNM,2023,actual,424890010556.2621,,
CHN-VNM,2023,pctile_of_actual_in_cf,0.5633333333333334,,
CHN-MEX,2023,actual,253676343992.74286,,
CHN-MEX,2023,pctile_of_actual_in_cf,0.8133333333333334,,
CHN-THA,2023,actual,260094675933.683,,
CHN-THA,2023,pctile_of_actual_in_cf,1.0,,
MEX-USA,2023,actual,1722852289184.3564,,
MEX-USA,2023,pctile_of_actual_in_cf,0.24666666666666667,,
VNM-USA,2023,actual,282749714139.96405,,
VNM-USA,2023,pctile_of_actual_in_cf,0.93,,
THA-USA,2023,actual,169411768114.24792,,
THA-USA,2023,pctile_of_actual_in_cf,1.0,,
MYS-USA,2023,actual,138460108154.8987,,
MYS-USA,2023,pctile_of_actual_in_cf,0.18666666666666668,,
IDN-USA,2023,actual,85274831676.22339,,
IDN-USA,2023,pctile_of_actual_in_cf,0.5933333333333334,,
CHN-USA,2024,cf,1590079422878.8564,1291888796936.723,1861097816417.9456
CHN-VNM,2024,cf,456801949017.1155,392270666567.16626,535570861150.36304
CHN-MEX,2024,cf,220625017059.0515,170936827093.74866,276622173739.016
CHN-THA,2024,cf,197614421812.6908,178734552618.78616,217048460688.88867
MEX-USA,2024,cf,1946544757154.3535,1515687475908.549,2450605411917.273
VNM-USA,2024,cf,277973820897.1129,239689880668.5228,319234760763.53973
THA-USA,2024,cf,117566643208.32544,106500029076.06328,129723202470.94429
MYS-USA,2024,cf,158205218378.66254,137454050126.34045,182247825430.82074
IDN-USA,2024,cf,83176471988.16298,69552421920.40991,96562474903.60095
CHN-USA,2024,actual,1371426556389.3186,,
CHN-USA,2024,pctile_of_actual_in_cf,0.14666666666666667,,
CHN-VNM,2024,actual,579761482005.4131,,
CHN-VNM,2024,pctile_of_actual_in_cf,0.99,,
CHN-MEX,2024,actual,277485868095.2411,,
CHN-MEX,2024,pctile_of_actual_in_cf,0.9566666666666667,,
CHN-THA,2024,actual,287618588589.63525,,
CHN-THA,2024,pctile_of_actual_in_cf,1.0,,
MEX-USA,2024,actual,1780563510708.9685,,
MEX-USA,2024,pctile_of_actual_in_cf,0.2866666666666667,,
VNM-USA,2024,actual,351021032906.35333,,
VNM-USA,2024,pctile_of_actual_in_cf,0.9966666666666667,,
THA-USA,2024,actual,185215860867.55075,,
THA-USA,2024,pctile_of_actual_in_cf,1.0,,
MYS-USA,2024,actual,176875513060.8251,,
MYS-USA,2024,pctile_of_actual_in_cf,0.8866666666666667,,
IDN-USA,2024,actual,93163991706.21387,,
IDN-USA,2024,pctile_of_actual_in_cf,0.8866666666666667,,
CHN-USA,2025,cf,1570558135424.5042,1280760861431.2563,1878822902387.8142
CHN-VNM,2025,cf,492135790633.4538,417038169149.2375,581364617584.3782
CHN-MEX,2025,cf,220254153476.10934,168390456523.51398,282219167550.1328
CHN-THA,2025,cf,215541877463.22223,187466931824.68494,241618020343.5839
MEX-USA,2025,cf,1936607864696.4595,1518241868564.338,2448484870530.1475
VNM-USA,2025,cf,298300055664.6951,252163858602.62662,350068000497.31635
THA-USA,2025,cf,128318695498.17093,113192142095.82594,144598700020.47003
MYS-USA,2025,cf,177830919688.43542,149014977289.1144,210566057612.59073
IDN-USA,2025,cf,82880667329.18674,69000802001.91788,98777719205.6357
CHN-USA,2026,cf,1662479968919.1748,1363380177649.6067,2000647492362.5432
CHN-VNM,2026,cf,523772798208.2075,437670598097.3898,629818108557.9803
CHN-MEX,2026,cf,254536399977.82404,189780331010.04,338360204071.1208
CHN-THA,2026,cf,214734777693.19354,186132253226.4177,241852599816.5143
MEX-USA,2026,cf,2270583021567.3857,1657443256623.3972,2945360140821.648
VNM-USA,2026,cf,322579872072.8446,270032105232.10327,377678334710.0437
THA-USA,2026,cf,128074175509.80348,111846809551.26929,144362575890.9939
MYS-USA,2026,cf,192738244884.687,160502007090.27036,230196819126.29318
IDN-USA,2026,cf,88281032507.96332,72314665623.424,104664880469.37521
CHN-USA,2027,cf,1755168875361.4856,1413771497560.0784,2136772331710.2566
CHN-VNM,2027,cf,554540280959.3572,462420220640.7273,680943288933.1516
CHN-MEX,2027,cf,253062185301.5724,188225036175.10944,347247461498.5344
CHN-THA,2027,cf,215109315749.27023,185806714914.17566,242651510660.41
MEX-USA,2027,cf,2281233116794.586,1664064760440.9636,2984969387776.7026
VNM-USA,2027,cf,338162146505.52936,281772085644.3981,406168659159.16486
THA-USA,2027,cf,128221137325.67496,110031575671.70027,147061694254.79587
MYS-USA,2027,cf,206061920974.48935,167411073670.94598,250478648969.43506
IDN-USA,2027,cf,95783568784.34311,78045780471.62743,115750908294.24213
CHN-USA,2028,cf,1833239572160.8418,1491433391539.625,2249807311885.3843
CHN-VNM,2028,cf,595819113589.3179,486328765867.9926,712968815249.128
CHN-MEX,2028,cf,252495803092.2536,186978742410.05832,352377775445.94727
CHN-THA,2028,cf,215053743586.58246,183407696126.87555,246580272943.2582
MEX-USA,2028,cf,2266042824782.711,1643005394368.4983,3013712066094.817
VNM-USA,2028,cf,360955279479.0493,299003241950.4166,431750281370.532
THA-USA,2028,cf,128263607375.01987,110308481115.68326,147352354857.10495
MYS-USA,2028,cf,219400144008.43475,181096316241.49426,270847520217.86612
IDN-USA,2028,cf,102518912833.04645,83049546784.45894,124297769723.25311
