# source: models/wtw_model.py ensemble (validated port), BACI 2020 init, WDI+WEO GDPs
# built: 2026-07-30
# script: analysis/40_counterfactual.py
# runs: 300, seeds 1000+, kappa median-matched; weights in model units
metric,year,p50,p5,p95
cf_total_weight,2021,42817738236035.69,42340058171755.54,43351462746727.055
cf_connector_share,2021,0.1023637706589309,0.10008454810584641,0.1047862473358353
l1_divergence_actual,2021,0.06630751801518006,0.06295248062060006,0.07149778061393564
l1_model_noise,2021,0.04524130305697907,0.0406451905241233,0.051594328793019416
actual_connector_share,2021,0.1041061777521351,,
connector_share_pctile_of_actual_in_cf,2021,0.86,,
cf_total_weight,2022,44955243115364.06,44360184144964.02,45610459843566.81
cf_connector_share,2022,0.1067060997882372,0.10406549354151921,0.11002225541246673
l1_divergence_actual,2022,0.09840793700058666,0.09385788966093353,0.10358542768850765
l1_model_noise,2022,0.05757515554164619,0.05181744387842725,0.06317141780446224
actual_connector_share,2022,0.10635112082405698,,
connector_share_pctile_of_actual_in_cf,2022,0.4033333333333333,,
cf_total_weight,2023,47463091144553.984,46713811693718.48,48221362651608.086
cf_connector_share,2023,0.10734170402348017,0.10324935062097328,0.11160565512421101
l1_divergence_actual,2023,0.11162229798104153,0.10588073429783519,0.1181914403787351
l1_model_noise,2023,0.06665414648829907,0.06040034891660973,0.07275283179540498
actual_connector_share,2023,0.10545463648316589,,
connector_share_pctile_of_actual_in_cf,2023,0.27,,
cf_total_weight,2024,49248011232094.06,48377274429651.75,50029730402286.08
cf_connector_share,2024,0.10849341867454725,0.1043450304629454,0.1126319305159925
l1_divergence_actual,2024,0.12510345521393712,0.11930177225717634,0.1309675742240896
l1_model_noise,2024,0.07128203467015137,0.06529633508053861,0.07781264908963727
actual_connector_share,2024,0.11281353505529944,,
connector_share_pctile_of_actual_in_cf,2024,0.9633333333333334,,
cf_total_weight,2025,52417940341364.89,51540026291930.97,53217622722639.96
cf_connector_share,2025,0.10748682665812762,0.1033277146221368,0.11156207854403298
cf_total_weight,2026,56812089634244.195,55723582622528.03,57736674320929.46
cf_connector_share,2026,0.10788845391666718,0.10292567509555899,0.11286351384125362
cf_total_weight,2027,57924737474568.61,56786333861620.13,58954459921468.914
cf_connector_share,2027,0.10906081461983784,0.1042064852750244,0.11377209986009476
cf_total_weight,2028,59195231749914.86,58017284886926.125,60392590423680.21
cf_connector_share,2028,0.11036132904600274,0.10514512060135452,0.11553973828495949
