# source: BLS v2 public API (keyless), CPS (LN) series; identities verified via download.bls.gov/pub/time.series/ln/ln.series series_title column
# pulled: 2026-07-30
# script: analysis/06_pull_bls_cps.py
# units: percent, NSA; quarterly = mean of the 3 monthly values (full quarters only); gap_pp = computer/math occupation u-rate minus bachelor's+ u-rate
# series LNU04027662: (Unadj) Unemployment Rate - Bachelor's degree and higher, 25 yrs. & over
# series LNU04034021: (Unadj) Unemployment Rate - Computer and Mathematical Occupations
# series LNU04032215: (Unadj) Unemployment Rate - Management, Professional, and Related Occupations
quarter,urate_college_LNU04027662,urate_compmath_LNU04034021,gap_pp,urate_mgmtprof_LNU04032215
2019Q1,2.23,2.10,-0.13,2.17
2019Q2,2.03,1.73,-0.30,1.90
2019Q3,2.30,1.73,-0.57,2.20
2019Q4,1.87,2.30,0.43,1.80
2020Q1,2.10,2.60,0.50,2.13
2020Q2,7.47,4.10,-3.37,6.93
2020Q3,5.80,4.17,-1.63,5.53
2020Q4,3.93,2.73,-1.20,3.60
2021Q1,3.83,2.23,-1.60,3.33
2021Q2,3.27,2.37,-0.90,3.10
2021Q3,3.03,1.73,-1.30,2.97
2021Q4,2.10,2.23,0.13,1.93
2022Q1,2.17,1.67,-0.50,2.00
2022Q2,1.93,1.87,-0.07,1.80
2022Q3,2.07,2.03,-0.03,2.20
2022Q4,1.80,2.00,0.20,1.83
2023Q1,2.07,1.97,-0.10,2.00
2023Q2,1.90,2.20,0.30,1.87
2023Q3,2.33,2.03,-0.30,2.27
2023Q4,1.97,2.03,0.07,1.83
2024Q1,2.20,2.93,0.73,2.17
2024Q2,2.20,3.00,0.80,2.17
2024Q3,2.60,3.03,0.43,2.70
2024Q4,2.30,2.37,0.07,2.20
2025Q1,2.47,3.10,0.63,2.30
2025Q2,2.47,3.23,0.77,2.47
2025Q3,2.97,3.27,0.30,2.73
2026Q1,2.93,3.77,0.83,2.63
2026Q2,2.63,3.17,0.53,2.50
