# source: IMF WEO via DataMapper API v1, indicator NGDPD (GDP current prices, billions USD); WEO vintage per indicator metadata: World Economic Outlook (April 2026)
# pulled: 2026-07-30
# script: analysis/02_pull_weo.py
# units: billions of current US dollars; years >= ~2025 are IMF projections; codes include aggregates (WEOWORLD etc.)
economy_code,year,ngdpd_bn_usd
ABW,2020,2.471
ABW,2021,2.881
ABW,2022,3.324
ABW,2023,3.871
ABW,2024,4.285
ABW,2025,4.521
ABW,2026,4.671
ABW,2027,4.853
ABW,2028,5.024
ADVEC,2020,51829.643
ADVEC,2021,57983.984
ADVEC,2022,59358.621
ADVEC,2023,62760.184
ADVEC,2024,65382.172
ADVEC,2025,69386.689
ADVEC,2026,73813.721
ADVEC,2027,76836.114
ADVEC,2028,79759.917
AFG,2020,20.136
AFG,2021,14.278
AFG,2022,14.501
AFG,2023,17.248
AFG,2024,17.817
AFG,2025,19.662
AFQ,2020,2672.655
AFQ,2021,2969.855
AFQ,2022,3196.507
AFQ,2023,3027.525
AFQ,2024,2889.483
AFQ,2025,3122.841
AFQ,2026,3555.435
AFQ,2027,3734.374
AFQ,2028,3964.288
AGO,2020,66.136
AGO,2021,83.022
AGO,2022,139.171
AGO,2023,113.135
AGO,2024,119.574
AGO,2025,141.728
AGO,2026,152.354
AGO,2027,154.464
AGO,2028,159.152
ALB,2020,15.271
ALB,2021,17.985
ALB,2022,19.189
ALB,2023,23.633
ALB,2024,27.084
ALB,2025,30.279
ALB,2026,33.333
ALB,2027,34.912
ALB,2028,36.998
AND,2020,2.885
AND,2021,3.325
AND,2022,3.376
AND,2023,3.786
AND,2024,4.042
AND,2025,4.491
AND,2026,4.879
AND,2027,5.065
AND,2028,5.245
APQ,2020,32324.265
APQ,2021,37114.675
APQ,2022,37109.896
APQ,2023,37789.301
APQ,2024,39102.201
APQ,2025,40970.251
APQ,2026,43319.458
APQ,2027,45648.103
APQ,2028,48469.347
ARE,2020,357.162
ARE,2021,422.441
ARE,2022,511.403
ARE,2023,522.622
ARE,2024,552.325
ARE,2025,571.643
ARE,2026,621.546
ARE,2027,648.673
ARE,2028,686.352
ARG,2020,385.218
ARG,2021,486.04
ARG,2022,633.52
ARG,2023,648.895
ARG,2024,637.234
ARG,2025,681.485
ARG,2026,688.378
ARG,2027,703.668
ARG,2028,746.843
ARM,2020,12.642
ARM,2021,13.879
ARM,2022,19.514
ARM,2023,24.186
ARM,2024,25.955
ARM,2025,29.243
ARM,2026,31.873
ARM,2027,33.553
ARM,2028,35.404
AS5,2020,2609.764
AS5,2021,2901.542
AS5,2022,3141.229
AS5,2023,3236.367
AS5,2024,3382.409
AS5,2025,3585.877
AS5,2026,3808.089
AS5,2027,4044.507
AS5,2028,4308.272
ATG,2020,1.412
ATG,2021,1.602
ATG,2022,1.857
ATG,2023,2.054
ATG,2024,2.162
ATG,2025,2.273
ATG,2026,2.385
ATG,2027,2.492
ATG,2028,2.604
AUS,2020,1366.669
AUS,2021,1660.123
AUS,2022,1731.233
AUS,2023,1748.175
AUS,2024,1799.418
AUS,2025,1839.961
AUS,2026,2123.963
AUS,2027,2211.254
AUS,2028,2292.786
AUT,2020,434.05
AUT,2021,480.786
AUT,2022,473.594
AUT,2023,516.82
AUT,2024,534.63
AUT,2025,579.928
AUT,2026,623.719
AUT,2027,644.693
AUT,2028,664.452
AZE,2020,42.693
AZE,2021,54.825
AZE,2022,78.807
AZE,2023,72.428
AZE,2024,74.426
AZE,2025,75.938
AZE,2026,78.372
AZE,2027,83.06
AZE,2028,88.175
AZQ,2020,1577.509
AZQ,2021,1909.844
AZQ,2022,1976.398
AZQ,2023,2001.825
AZQ,2024,2058.245
AZQ,2025,2098.793
AZQ,2026,2402.6
AZQ,2027,2501.706
AZQ,2028,2594.717
BDI,2020,3.089
BDI,2021,3.356
BDI,2022,3.922
BDI,2023,4.291
BDI,2024,4.838
BDI,2025,6.918
BDI,2026,8.137
BDI,2027,9.067
BDI,2028,9.298
BEL,2020,529.269
BEL,2021,598.92
BEL,2022,591.551
BEL,2023,651.518
BEL,2024,671.168
BEL,2025,724.917
BEL,2026,776.73
BEL,2027,797.019
BEL,2028,816.962
BEN,2020,15.674
BEN,2021,17.699
BEN,2022,17.439
BEN,2023,19.679
BEN,2024,21.487
BEN,2025,24.382
BEN,2026,27.786
BEN,2027,30.179
BEN,2028,32.731
BFA,2020,17.837
BFA,2021,19.708
BFA,2022,18.662
BFA,2023,20.116
BFA,2024,23.13
BFA,2025,27.14
BFA,2026,32.513
BFA,2027,36.047
BFA,2028,38.516
BGD,2020,373.902
BGD,2021,416.265
BGD,2022,460.201
BGD,2023,451.534
BGD,2024,450.461
BGD,2025,457.904
BGD,2026,510.705
BGD,2027,539.741
BGD,2028,574.318
BGR,2020,70.595
BGR,2021,84.437
BGR,2022,90.716
BGR,2023,102.237
BGR,2024,113.364
BGR,2025,131.024
BGR,2026,148.121
BGR,2027,158.387
BGR,2028,170.208
BHR,2020,35.838
BHR,2021,40.84
BHR,2022,46.458
BHR,2023,46.192
BHR,2024,47.21
BHR,2025,47.538
BHR,2026,48.849
BHR,2027,50.994
BHR,2028,53.033
BHS,2020,10.363
BHS,2021,12.037
BHS,2022,13.897
BHS,2023,15.271
BHS,2024,15.833
BHS,2025,16.508
BHS,2026,17.042
BHS,2027,17.605
BHS,2028,18.208
BIH,2020,20.264
BIH,2021,23.688
BIH,2022,24.581
BIH,2023,27.606
BIH,2024,29.738
BIH,2025,32.962
BIH,2026,36.771
BIH,2027,38.914
BIH,2028,40.862
BLR,2020,61.312
BLR,2021,68.207
BLR,2022,73.735
BLR,2023,71.792
BLR,2024,78.847
BLR,2025,92.766
BLR,2026,102.042
BLR,2027,107.418
BLR,2028,113.306
BLZ,2020,2.047
BLZ,2021,2.429
BLZ,2022,2.847
BLZ,2023,3.052
BLZ,2024,3.204
BLZ,2025,3.327
BLZ,2026,3.45
BLZ,2027,3.577
BLZ,2028,3.695
BOL,2020,42.622
BOL,2021,48.227
BOL,2022,51.331
BOL,2023,52.722
BOL,2024,55.281
BOL,2025,64.25
BOL,2026,80.743
BRA,2020,1476.092
BRA,2021,1670.65
BRA,2022,1951.849
BRA,2023,2191.137
BRA,2024,2185.822
BRA,2025,2279.918
BRA,2026,2635.912
BRA,2027,2766.558
BRA,2028,2879.42
BRB,2020,5.403
BRB,2021,5.949
BRB,2022,6.887
BRB,2023,7.223
BRB,2024,7.598
BRB,2025,8.017
BRB,2026,8.483
BRB,2027,8.955
BRB,2028,9.375
BRN,2020,12.008
BRN,2021,14.008
BRN,2022,16.684
BRN,2023,15.098
BRN,2024,15.334
BRN,2025,15.942
BRN,2026,16.863
BRN,2027,17.581
BRN,2028,18.318
BTN,2020,2.586
BTN,2021,2.621
BTN,2022,2.866
BTN,2023,2.92
BTN,2024,3.147
BTN,2025,3.474
BTN,2026,3.856
BTN,2027,4.247
BTN,2028,4.654
BWA,2020,14.93
BWA,2021,18.75
BWA,2022,20.321
BWA,2023,19.411
BWA,2024,19.356
BWA,2025,19.533
BWA,2026,21.937
BWA,2027,23.661
BWA,2028,25.4
CAF,2020,2.503
CAF,2021,2.711
CAF,2022,2.565
CAF,2023,2.722
CAF,2024,2.868
CAF,2025,3.192
CAF,2026,3.492
CAF,2027,3.698
CAF,2028,3.922
CAN,2020,1655.685
CAN,2021,2022.382
CAN,2022,2200.567
CAN,2023,2196.594
CAN,2024,2270.076
CAN,2025,2319.9
CAN,2026,2507.34
CAN,2027,2640.393
CAN,2028,2759.418
CAQ,2020,1124.909
CAQ,2021,1275.453
CAQ,2022,1462.034
CAQ,2023,1757.537
CAQ,2024,2024.748
CAQ,2025,2326.682
CAQ,2026,2462.23
CAQ,2027,2516.625
CAQ,2028,2695.708
CBQ,2020,85.345
CBQ,2021,102.523
CBQ,2022,120.306
CBQ,2023,124.266
CBQ,2024,141.785
CBQ,2025,153.827
CBQ,2026,172.36
CBQ,2027,188.346
CBQ,2028,201.411
CHE,2020,755.582
CHE,2021,840.084
CHE,2022,858.345
CHE,2023,928.689
CHE,2024,970.19
CHE,2025,1043.544
CHE,2026,1146.911
CHE,2027,1190.375
CHE,2028,1241.643
CHL,2020,254.06
CHL,2021,315.411
CHL,2022,301.27
CHL,2023,335.627
CHL,2024,330.21
CHL,2025,355.346
