# source: CEPII BACI HS17 V202601, year 2024 (via data/processed/baci_2024_hs6.parquet)
# pulled: 2026-07-30
# license: Etalab 2.0
# script: analysis/20_multigraph.py
# unit: *_kusd values are THOUSANDS of current USD (BACI native 'v'); USD = kusd * 1e3
# note: Taiwan = BACI code 490 'Other Asia, nes', recoded to TWN (iso3_recode)
# note: de minimis 1.0 kUSD on layer edges; HHI on 0..10,000 scale;
#       betweenness distance = 1/ln(1+v_kusd); eigenvector on undirected projection
# layer = aerospace; HS6 codes (14): 841111,841112,841121,841122,841181,841182,841191,841199,880211,880212,880220,880230,880240,880260
exporter_iso3,importer_iso3,value_kusd
CAN,USA,10740183.728
FRA,USA,9190101.333
DEU,USA,7821393.376
USA,CHN,7571553.261
USA,BRA,7113385.373
HKG,CHN,6490122.5
USA,JPN,6253578.498
FRA,CHN,5250909.95
USA,DEU,4877559.528
GBR,HKG,4850430.986
FRA,DEU,4752954.075
GBR,USA,4550367.691
USA,CAN,4500608.382
GBR,SGP,4449597.912
USA,IRL,4272257.403
USA,GBR,3845116.963
FRA,GBR,3772483.986
USA,KOR,3251610.938
GBR,DEU,2998138.933
USA,SGP,2973275.069
USA,IND,2840381.412
FRA,IND,2750662.398
USA,FRA,2746096.382
FRA,TUR,2693927.989
BRA,USA,2625216.62
USA,TWN,2506743.21
DEU,IND,2369523.365
GBR,FRA,2365879.322
DEU,CHN,2365556.301
USA,POL,2362308.357
USA,AUS,2251150.825
JPN,USA,2206606.752
USA,ESP,2171860.706
DEU,HUN,2157065.933
MEX,USA,2117211.549
ARE,IND,2026466.732
DEU,GBR,2004772.591
USA,MYS,1891837.481
FRA,JPN,1707632.032
POL,USA,1635186.823
IND,ARE,1634780.893
SGP,HKG,1583014.207
IND,SAU,1566704.353
USA,MEX,1562935.298
DEU,IRL,1514870.618
SAU,IND,1490867.239
DEU,FRA,1412108.822
USA,QAT,1407401.659
USA,THA,1380329.695
USA,NZL,1367793.291
GBR,ARE,1335877.114
USA,ITA,1294562.652
USA,HKG,1281175.922
USA,NOR,1276167.801
FRA,THA,1268475.183
FRA,KOR,1241505.05
CHN,HKG,1208435.249
FRA,CAN,1176341.753
FRA,SGP,1170164.86
FRA,BRA,1170120.568
KOR,USA,1167797.035
DEU,NLD,1143866.245
SGP,JPN,1140115.09
ESP,DEU,1133510.39
IRL,USA,1131921.471
FRA,ARE,1112354.271
USA,NLD,1103480.278
USA,TUR,1096256.368
GBR,NLD,1086641.496
GBR,QAT,1075719.257
GBR,JPN,1048115.737
ITA,USA,1029013.282
CHN,USA,1019110.715
FRA,BEL,1010788.267
USA,DNK,1000875.486
CHN,FRA,951008.488
IRL,FRA,947501.043
FRA,CHL,928239.786
CHE,USA,882264.371
FRA,TWN,879568.075
DEU,MEX,878336.226
DEU,CAN,872133.687
JPN,GBR,870999.556
DEU,TUR,864009.363
USA,CZE,853162.078
ESP,GBR,845288.076
TUR,USA,833993.585
