# source: CEPII BACI HS17 V202601, year 2024 (via data/processed/baci_2024_hs6.parquet)
# pulled: 2026-07-30
# license: Etalab 2.0
# script: analysis/20_multigraph.py
# unit: *_kusd values are THOUSANDS of current USD (BACI native 'v'); USD = kusd * 1e3
# note: Taiwan = BACI code 490 'Other Asia, nes', recoded to TWN (iso3_recode)
# note: de minimis 1.0 kUSD on layer edges; HHI on 0..10,000 scale;
#       betweenness distance = 1/ln(1+v_kusd); eigenvector on undirected projection
# all-products 2024 graph from wtw_agg_2017_2024.csv; strength = exports + imports
iso3,agg_strength_kusd,agg_strength_rank,agg_betweenness,agg_betweenness_rank,agg_eigenvector
CHN,5659405292.698,1,0.248849,1,0.467306
USA,5020748093.9,2,0.165794,2,0.54603
DEU,2876258552.887,3,0.016548,7,0.236786
JPN,1457925227.811,4,0.005298,18,0.196698
FRA,1384636320.957,5,0.036726,3,0.12116
KOR,1341717355.948,6,0.016369,8,0.183497
NLD,1265338340.605,7,0.017321,6,0.115856
ITA,1235172252.306,8,0.013274,10,0.101
MEX,1211316560.298,9,0.0,68,0.288805
IND,1151014005.366,10,0.033294,4,0.112182
GBR,1144409440.6,11,0.011151,13,0.118608
CAN,1075307140.057,12,0.010377,14,0.248106
TWN,884685713.352,13,0.001111,29,0.127129
VNM,881985850.454,14,0.0,68,0.145363
ESP,850049462.712,15,0.013155,11,0.067897
BEL,819966460.142,16,0.000873,31,0.068405
HKG,819764362.743,17,0.000635,34,0.119079
CHE,786968900.44,18,0.003929,20,0.080672
SGP,763022473.981,19,0.015714,9,0.081354
POL,752057959.702,20,0.001567,25,0.06426
MYS,682917953.892,21,0.00623,17,0.085642
AUS,646405943.709,22,0.011567,12,0.093676
THA,631623450.508,23,0.018651,5,0.081489
BRA,629713278.387,24,0.001151,28,0.08706
ARE,620605860.061,25,0.002063,23,0.061585
TUR,582151639.016,26,0.007996,15,0.044801
RUS,578462182.05,27,0.000476,37,0.077894
SAU,528773818.285,28,0.007381,16,0.058256
IDN,528083508.09,29,0.002798,22,0.06848
CZE,466519848.716,30,0.001508,26,0.040655
AUT,406572829.374,31,4e-05,53,0.038614
IRL,372973423.581,32,0.000714,33,0.052664
SWE,368880759.115,33,0.000278,41,0.02924
HUN,303569628.245,34,0.0,68,0.024177
NOR,275492968.005,35,0.0,68,0.021885
ZAF,252219762.349,36,0.004663,19,0.026766
DNK,242151074.323,37,0.001369,27,0.020699
ROU,241878069.24,38,4e-05,53,0.016302
PHL,236654464.596,39,0.000456,38,0.032215
SVK,227877811.654,40,0.000556,36,0.017153
PRT,198926557.432,41,0.000833,32,0.014193
CHL,183264224.971,42,0.002956,21,0.030207
KAZ,165601089.911,43,2e-05,58,0.01587
IRQ,160956985.934,44,0.0,68,0.022153
FIN,157247472.599,45,0.0,68,0.013158
EGY,152579115.081,46,0.000218,42,0.012352
MAR,152494773.311,47,0.000179,43,0.012121
ISR,149306681.584,48,0.0,68,0.019266
GRC,142577239.318,49,0.001984,24,0.009047
SVN,137666450.376,50,0.0,68,0.008801
ARG,134527846.471,51,2e-05,58,0.013276
PER,128827173.702,52,0.0,68,0.020385
QAT,125685635.168,53,2e-05,58,0.014143
BGD,122362861.945,54,0.0,68,0.014777
UKR,116070100.686,55,0.0,68,0.009176
NGA,114511782.987,56,0.000179,43,0.01227
COL,113716130.876,57,0.000179,43,0.017697
BGR,104494450.904,58,0.0,68,0.006388
KWT,103129638.71,59,0.0,68,0.011015
PAK,100893755.992,60,0.000595,35,0.010566
OMN,94266436.797,61,0.0,68,0.013286
NZL,91897109.066,62,0.000893,30,0.012253
DZA,91802817.581,63,0.0,68,0.008221
LTU,82244164.417,64,2e-05,58,0.004692
KHM,77182002.977,65,0.0,68,0.01139
SRB,76441731.631,66,0.0,68,0.004894
HRV,70124363.502,67,0.0,68,0.003892
ECU,67677143.79,68,0.0,68,0.009758
UZB,60324223.919,69,0.0,68,0.00541
AGO,57260668.417,70,6e-05,52,0.007627
LBY,51510325.245,71,0.0,68,0.004082
AZE,51119651.305,72,2e-05,58,0.003325
TUN,49177496.15,73,0.0,68,0.003759
CRI,47725329.756,74,0.0,68,0.008072
GTM,47592728.977,75,0.0,68,0.007438
DOM,47492682.642,76,0.0,68,0.009091
PAN,45884611.961,77,0.0,68,0.005209
LUX,44398450.514,78,0.0,68,0.003512
CIV,44253046.201,79,2e-05,58,0.003266
EST,43321114.574,80,0.0,68,0.002559
LVA,42057304.389,81,0.0,68,0.001895
MMR,41583217.122,82,0.0,68,0.005158
COD,41121836.255,83,0.0,68,0.007454
GHA,36420470.178,84,0.0,68,0.004749
IRN,35899224.626,85,0.0,68,0.004426
BHR,35429668.517,86,0.0,68,0.002598
KGZ,33782561.407,87,0.0,68,0.004899
LKA,33231617.364,88,0.0,68,0.003609
KEN,32364309.102,89,7.9e-05,51,0.0031
TZA,32346150.901,90,4e-05,53,0.002954
GUY,32059855.152,91,0.000317,39,0.003675
JOR,31553789.627,92,0.0,68,0.00389
ARM,31145365.489,93,0.000179,43,0.001996
MOZ,30445260.818,94,0.0,68,0.002345
PRY,28763457.136,95,0.0,68,0.002813
HND,27932523.424,96,0.0,68,0.004728
VEN,27605352.702,97,0.0,68,0.005294
ZMB,26576473.222,98,0.000119,49,0.00214
BIH,25884644.2,99,0.0,68,0.00147
LBR,25522711.69,100,0.0,68,0.004463
GEO,25197432.599,101,0.0,68,0.001933
URY,25195671.476,102,0.0,68,0.002802
MLT,23381017.212,103,2e-05,58,0.002222
MNG,23173933.667,104,0.0,68,0.005156
SLV,22974347.2,105,0.0,68,0.003253
LBN,22962899.681,106,0.0,68,0.001462
BLR,22923748.373,107,0.0,68,0.002682
SEN,22846981.52,108,0.000298,40,0.002037
UGA,22806857.609,109,0.000139,48,0.001463
MKD,21546413.964,110,0.0,68,0.00143
CYP,20333659.702,111,0.000179,43,0.001012
NIC,19630838.244,112,0.0,68,0.003045
LAO,19439140.195,113,0.0,68,0.002731
PNG,19356232.225,114,0.0,68,0.002234
TTO,19209594.112,115,0.0,68,0.002608
BRN,19113907.224,116,0.0,68,0.001747
BOL,18619433.127,117,0.0,68,0.001896
ZWE,17975666.022,118,0.0,68,0.001382
ISL,17603299.071,119,2e-05,58,0.001551
TKM,17431419.634,120,0.0,68,0.002971
GIN,17405222.046,121,0.0,68,0.003323
NAM,17250703.783,122,2e-05,58,0.001251
BFA,15758824.585,123,0.0,68,0.000855
CMR,15172971.081,124,0.0,68,0.001891
TGO,13883077.775,125,0.0,68,0.001313
MDA,13869263.384,126,0.0,68,0.000808
MAC,13857235.0,127,0.0,68,0.001843
MHL,13842358.896,128,0.0,68,0.002015
ALB,13599537.283,129,0.0,68,0.000933
COG,13414363.234,130,0.0,68,0.001897
NPL,11533518.449,131,0.0,68,0.001192
BHS,11141837.142,132,4e-05,53,0.002318
GAB,10769266.664,133,0.0,68,0.001377
BWA,10636372.645,134,0.0,68,0.000657
ETH,10436128.543,135,0.0,68,0.001504
MRT,10378027.962,136,0.0,68,0.001054
GIB,10043622.081,137,0.0,68,0.000523
MUS,9497724.368,138,0.0,68,0.000763
YEM,9464025.39,139,0.0,68,0.000978
CYM,9014026.323,140,0.0,68,0.000927
MDG,8427356.438,141,0.0,68,0.000915
TJK,8013831.051,142,0.0,68,0.001137
MLI,7403210.087,143,0.0,68,0.000415
AFG,7338841.887,144,0.0,68,0.000552
JAM,7287705.421,145,0.0,68,0.001314
DJI,7099411.845,146,0.0,68,0.00098
SDN,6802624.351,147,0.0,68,0.000571
MNE,6214169.824,148,0.0,68,0.000328
BEN,6142819.287,149,0.0,68,0.000508
GNQ,5487627.129,150,0.0,68,0.000593
SYR,4983365.164,151,0.0,68,0.000226
CUB,4724139.328,152,0.0,68,0.000564
TCD,4639887.352,153,0.0,68,0.000593
FJI,4551815.371,154,9.9e-05,50,0.000471
MDV,4539034.657,155,0.0,68,0.000405
SWZ,4310317.616,156,0.0,68,0.000101
