# source: CEPII BACI HS17 V202601, year 2024 (via data/processed/baci_2024_hs6.parquet)
# pulled: 2026-07-30
# license: Etalab 2.0
# script: analysis/20_multigraph.py
# unit: *_kusd values are THOUSANDS of current USD (BACI native 'v'); USD = kusd * 1e3
# note: Taiwan = BACI code 490 'Other Asia, nes', recoded to TWN (iso3_recode)
# note: de minimis 1.0 kUSD on layer edges; HHI on 0..10,000 scale;
#       betweenness distance = 1/ln(1+v_kusd); eigenvector on undirected projection
# top-10 per layer per metric; layer_export_hhi = HHI of layer export origin
# agg_* = rank in the all-products 2024 graph (context)
layer,metric,rank,iso3,value,unit,export_kusd,layer_export_hhi,agg_strength_rank,agg_betweenness_rank
semiconductors,export_share,1,TWN,19.6376,pct_of_layer_exports,233964185.312,1171.5,13,29
semiconductors,export_share,2,CHN,19.3993,pct_of_layer_exports,231125792.838,1171.5,1,1
semiconductors,export_share,3,KOR,12.7099,pct_of_layer_exports,151427514.253,1171.5,6,8
semiconductors,export_share,4,SGP,8.0252,pct_of_layer_exports,95613447.312,1171.5,19,9
semiconductors,export_share,5,MYS,7.718,pct_of_layer_exports,91953673.188,1171.5,21,17
semiconductors,export_share,6,JPN,7.2491,pct_of_layer_exports,86366605.207,1171.5,4,18
semiconductors,export_share,7,USA,6.0263,pct_of_layer_exports,71798166.379,1171.5,2,2
semiconductors,export_share,8,VNM,3.4007,pct_of_layer_exports,40515790.803,1171.5,14,68
semiconductors,export_share,9,NLD,2.5567,pct_of_layer_exports,30460877.816,1171.5,7,6
semiconductors,export_share,10,DEU,2.4156,pct_of_layer_exports,28779427.424,1171.5,3,7
semiconductors,betweenness,1,CHN,0.454246,normalized_betweenness,,1171.5,1,1
semiconductors,betweenness,2,USA,0.164127,normalized_betweenness,,1171.5,2,2
semiconductors,betweenness,3,DEU,0.081905,normalized_betweenness,,1171.5,3,7
semiconductors,betweenness,4,JPN,0.06873,normalized_betweenness,,1171.5,4,18
semiconductors,betweenness,5,SGP,0.059603,normalized_betweenness,,1171.5,19,9
