# source: CEPII BACI HS17 V202601, year 2024 (via data/processed/baci_2024_hs6.parquet)
# pulled: 2026-07-30
# license: Etalab 2.0
# script: analysis/20_multigraph.py
# unit: *_kusd values are THOUSANDS of current USD (BACI native 'v'); USD = kusd * 1e3
# note: Taiwan = BACI code 490 'Other Asia, nes', recoded to TWN (iso3_recode)
# note: de minimis 1.0 kUSD on layer edges; HHI on 0..10,000 scale;
#       betweenness distance = 1/ln(1+v_kusd); eigenvector on undirected projection
# layer = critical_minerals; HS6 codes (44): 250410,250490,280461,280469,280511,280512,280519,280530,280540,282520,282530,282540,282560,282580,284161,284169,284180,284190,284410,284420,284430,284440,284450,284610,284690,380110,380120,380130,380190,811212,811213,811219,811221,811222,811229,811251,811252,811259,811292,811299,850511,850519,850520,850590
exporter_iso3,importer_iso3,value_kusd
CHN,KOR,3372147.845
CAN,USA,1992314.225
CHN,JPN,1978818.443
KOR,CHN,1869785.891
KAZ,CHN,1846816.108
KAZ,RUS,1824415.554
CHN,USA,1727085.411
FRA,USA,1414204.436
GBR,USA,1239685.9
KOR,POL,1227700.781
DEU,USA,1062714.335
RUS,CHN,925960.095
CHN,DEU,878430.57
MMR,CHN,817835.388
CAN,NLD,811628.236
NLD,USA,791467.811
CHN,MYS,734032.709
DEU,CHN,715669.086
NAM,CHN,702400.676
CHN,IND,660454.628
RUS,KOR,659344.125
RUS,USA,655831.429
JPN,USA,642833.725
CHN,VNM,631064.085
KOR,HUN,628476.585
FRA,DEU,624845.608
CAN,DEU,611021.06
CHN,THA,591854.18
USA,JPN,574234.992
USA,GBR,524340.71
CAN,GBR,512478.254
KOR,USA,507424.75
RUS,KAZ,489884.802
JPN,CHN,461953.24
USA,DEU,453972.636
USA,VNM,414341.075
GBR,SWE,413993.55
CHN,POL,407628.437
GBR,ESP,402757.984
JPN,POL,401775.953
DEU,SWE,396033.602
MYS,CHN,384354.194
FRA,GBR,377497.907
CHN,MEX,377385.523
BRA,USA,373194.786
CHN,IDN,353589.843
FRA,JPN,350206.994
CHN,HUN,337592.699
NLD,GBR,334690.82
VNM,JPN,330085.617
KAZ,USA,325449.825
NLD,SWE,324048.899
KAZ,FRA,310553.419
USA,NLD,309170.167
CAN,KOR,300336.481
DEU,VNM,295186.102
AUS,CAN,291538.345
NLD,FRA,275391.34
CHN,TWN,271579.595
NOR,DEU,269390.875
CHN,ESP,268638.885
LAO,CHN,262747.141
KOR,MYS,257831.196
CHN,FRA,251578.923
KAZ,CAN,248945.302
NER,FRA,239581.724
JPN,KOR,238967.307
CAN,FRA,234430.586
USA,CHN,224357.003
AUS,KOR,223033.976
USA,MEX,221530.799
JPN,PHL,221254.6
USA,CAN,220844.209
DEU,FRA,212374.346
MYS,VNM,209595.69
FRA,NLD,209420.037
PHL,JPN,189830.709
CHN,RUS,186425.761
USA,KOR,186168.177
MEX,USA,182914.399
DEU,ITA,181798.028
DEU,GBR,180091.233
JPN,TWN,176274.343
CHL,KOR,175654.022
CHN,ITA,174489.661
CHN,GBR,173126.812
CHN,ARE,159459.511
CHN,NLD,158750.627
NLD,DEU,157686.29
NLD,CHN,155059.93
RUS,DEU,145548.653
KOR,IDN,142753.684
KOR,JPN,141842.558
DEU,KOR,138478.692
DEU,JPN,132800.284
BEL,USA,130957.057
AUS,MYS,130361.232
BRA,NLD,127400.688
ZAF,USA,123256.599
UZB,FRA,122451.76
CHN,HKG,121867.671
NLD,ITA,120856.689
DEU,POL,119853.419
CHN,TUR,115054.346
JPN,THA,114959.042
FRA,KOR,114732.148
CHN,CAN,114546.834
JPN,MYS,113747.555
MYS,JPN,112462.763
DEU,CZE,111441.554
CHN,SGP,108776.679
CHN,PHL,107120.562
