# source: CEPII BACI HS17 V202601, year 2024 (via data/processed/baci_2024_hs6.parquet)
# pulled: 2026-07-30
# license: Etalab 2.0
# script: analysis/20_multigraph.py
# unit: *_kusd values are THOUSANDS of current USD (BACI native 'v'); USD = kusd * 1e3
# note: Taiwan = BACI code 490 'Other Asia, nes', recoded to TWN (iso3_recode)
# note: de minimis 1.0 kUSD on layer edges; HHI on 0..10,000 scale;
#       betweenness distance = 1/ln(1+v_kusd); eigenvector on undirected projection
# layer = pharma_apis; HS6 codes (81): 293311,293319,293321,293329,293331,293332,293333,293339,293341,293349,293352,293353,293354,293355,293359,293361,293369,293371,293372,293379,293391,293392,293399,293410,293420,293430,293491,293499,293510,293520,293530,293540,293550,293590,293621,293622,293623,293624,293625,293626,293627,293628,293629,293690,293711,293712,293719,293721,293722,293723,293729,293750,293790,293810,293890,293911,293919,293920,293930,293941,293942,293943,293944,293949,293951,293959,293961,293962,293963,293969,293971,293979,293980,294000,294110,294120,294130,294140,294150,294190,294200
exporter_iso3,importer_iso3,value_kusd
IRL,USA,23813566.649
CHE,SVN,9592620.208
IRL,DEU,7796018.489
USA,ITA,6281318.466
CHN,IND,4459438.305
CHN,USA,3926415.928
CHE,DEU,3791219.618
IRL,ITA,2956975.44
CHN,SVN,2830818.111
SGP,USA,2748681.376
CHN,BRA,2218169.152
CHE,USA,2099252.692
USA,DEU,2055619.191
DNK,CHN,1984848.616
ESP,PAN,1804141.513
BEL,ITA,1363771.48
IRL,PRT,1347979.779
CHE,CAN,1337214.438
CHN,DEU,1294204.741
CHE,ESP,1270625.417
SGP,DEU,1269273.428
CHN,IRL,1239543.567
FRA,IRL,1225359.728
CHN,JPN,1223723.988
CHE,ITA,1216751.066
CHN,KOR,1177300.97
IRL,BEL,1157399.669
CHE,AUT,1153442.641
CHN,CHE,1127419.977
IND,USA,1109230.003
DEU,USA,1076692.593
IND,SGP,958961.33
IND,BRA,943770.023
IRL,GBR,896913.403
DEU,BRA,862611.554
GBR,USA,810600.173
CHN,RUS,799551.426
ESP,IRL,793003.704
JPN,DEU,770375.037
USA,FRA,764545.912
CHN,FRA,751846.266
CHN,ESP,747718.862
FRA,GBR,735051.375
CHN,ITA,734067.851
CHN,NLD,693449.108
BEL,USA,687181.904
USA,SVN,686572.022
CHN,HKG,679316.971
GBR,IRL,669804.145
ARG,USA,666682.209
DEU,FRA,639023.44
CHN,VNM,638327.898
USA,DNK,631421.873
USA,BEL,627523.415
USA,CHN,615711.442
CHN,TUR,614702.019
ITA,CHE,602908.613
DEU,ITA,590738.086
BEL,DEU,588554.712
IRL,CHN,571933.898
CHN,IDN,559212.841
FRA,BEL,557401.971
