# source: CEPII BACI HS17 V202601, year 2024 (via data/processed/baci_2024_hs6.parquet)
# pulled: 2026-07-30
# license: Etalab 2.0
# script: analysis/20_multigraph.py
# unit: *_kusd values are THOUSANDS of current USD (BACI native 'v'); USD = kusd * 1e3
# note: Taiwan = BACI code 490 'Other Asia, nes', recoded to TWN (iso3_recode)
# note: de minimis 1.0 kUSD on layer edges; HHI on 0..10,000 scale;
#       betweenness distance = 1/ln(1+v_kusd); eigenvector on undirected projection
# is_top5_concentrated: 5 highest export-origin HHI codes per layer among codes with world trade >= 500000 kUSD (USD 500M floor)
layer,hs6,label,world_kusd,export_hhi,top_exporter,top_share_pct,second_exporter,second_share_pct,is_top5_concentrated
semiconductors,854150,"Semiconductor devices: diodes, transistors, LEDs, photovoltaic cells (discrete semis)",3014.243,3353.9,LBN,50.59,GEO,22.3,False
semiconductors,848630,Semiconductor/flat-panel manufacturing equipment incl. lithography (EUV sits in 848620),3273707.722,3338.6,JPN,48.89,KOR,24.24,True
semiconductors,848610,Semiconductor/flat-panel manufacturing equipment incl. lithography (EUV sits in 848620),3984182.004,2576.9,JPN,43.73,DEU,18.55,True
semiconductors,854232,"Electronic integrated circuits: processors, memory, amplifiers (the core chip trade)",202330882.851,2477.2,KOR,37.48,CHN,27.76,True
semiconductors,854140,"Semiconductor devices: diodes, transistors, LEDs, photovoltaic cells (discrete semis)",77980038.83,2472.6,CHN,47.32,VNM,9.49,True
semiconductors,854110,"Semiconductor devices: diodes, transistors, LEDs, photovoltaic cells (discrete semis)",10363074.767,1880.9,CHN,39.41,TWN,10.24,True
semiconductors,854239,"Electronic integrated circuits: processors, memory, amplifiers (the core chip trade)",300167154.174,1867.6,TWN,36.86,CHN,17.17,False
semiconductors,848620,Semiconductor/flat-panel manufacturing equipment incl. lithography (EUV sits in 848620),77483297.498,1741.6,NLD,25.65,JPN,25.13,False
semiconductors,854121,"Semiconductor devices: diodes, transistors, LEDs, photovoltaic cells (discrete semis)",4436759.674,1693.6,CHN,36.42,JPN,10.84,False
semiconductors,854233,"Electronic integrated circuits: processors, memory, amplifiers (the core chip trade)",15435353.603,1465.5,SGP,23.82,CHN,18.48,False
semiconductors,854160,"Semiconductor devices: diodes, transistors, LEDs, photovoltaic cells (discrete semis)",6362963.97,1430.7,CHN,23.16,JPN,18.37,False
semiconductors,848640,Semiconductor/flat-panel manufacturing equipment incl. lithography (EUV sits in 848620),11445549.048,1407.1,SGP,27.0,JPN,17.1,False
