# source: CEPII BACI HS17 V202601, year 2024 (via data/processed/baci_2024_hs6.parquet)
# pulled: 2026-07-30
# license: Etalab 2.0
# script: analysis/20_multigraph.py
# unit: *_kusd values are THOUSANDS of current USD (BACI native 'v'); USD = kusd * 1e3
# note: Taiwan = BACI code 490 'Other Asia, nes', recoded to TWN (iso3_recode)
# note: de minimis 1.0 kUSD on layer edges; HHI on 0..10,000 scale;
#       betweenness distance = 1/ln(1+v_kusd); eigenvector on undirected projection
# layer = semiconductors; HS6 codes (18): 848610,848620,848630,848640,848690,854110,854121,854129,854130,854140,854150,854160,854190,854231,854232,854233,854239,854290
exporter_iso3,importer_iso3,value_kusd
CHN,HKG,82878659.43
TWN,CHN,56259922.952
KOR,CHN,53520357.809
TWN,HKG,44736404.067
TWN,SGP,41682884.74
SGP,HKG,37542846.79
JPN,CHN,28034901.513
KOR,TWN,26587638.583
KOR,HKG,23223818.183
TWN,KOR,22045926.278
CHN,KOR,21397727.897
CHN,TWN,19823815.134
MYS,SGP,18277190.303
CHN,VNM,17812223.937
SGP,CHN,17735684.687
KOR,VNM,17687852.21
CHN,IND,15309968.042
TWN,JPN,15181038.016
MYS,CHN,14849495.655
VNM,CHN,14621790.267
USA,CHN,14544716.142
MYS,HKG,14028171.967
JPN,TWN,13105847.817
MYS,USA,12941538.326
TWN,USA,11011803.062
JPN,KOR,10938079.372
KOR,SGP,10239211.242
NLD,CHN,10141733.976
TWN,MYS,10027976.242
CHN,MYS,9798109.062
USA,MYS,9753814.48
USA,MEX,9450666.333
SGP,MYS,9226866.863
HKG,VNM,8603298.497
JPN,HKG,8468545.611
VNM,HKG,8261867.359
TWN,THA,8097536.07
CHN,SGP,7937950.425
USA,TWN,7916547.028
MYS,TWN,7910065.925
VNM,USA,7307811.458
SGP,VNM,6981904.577
USA,KOR,6707743.752
PHL,HKG,6341190.571
PHL,CHN,6051273.84
SGP,TWN,5967480.989
JPN,USA,5591700.519
TWN,IND,5579661.37
NLD,KOR,5475754.97
JPN,SGP,5317163.763
CHN,NLD,5258511.388
SGP,KOR,5220588.749
IRL,CHN,5161823.792
CHN,BRA,4668203.581
IRL,MYS,4666355.758
TWN,VNM,4542207.36
MYS,VNM,4129121.833
THA,USA,4079473.627
JPN,MYS,3828542.017
KOR,USA,3789870.246
ISR,USA,3777796.597
CHN,THA,3694638.193
CHN,DEU,3608162.96
ISR,IRL,3606306.596
NLD,TWN,3597491.44
CHN,JPN,3581915.394
USA,HKG,3436823.107
MYS,DEU,3376417.791
MYS,KOR,3297858.345
CHN,USA,3172457.784
SGP,USA,3070757.182
DEU,CHN,3040981.554
KOR,IND,3038385.115
USA,VNM,3019355.763
THA,HKG,2957462.056
USA,JPN,2886444.667
CHN,MEX,2866217.828
USA,SGP,2836146.851
TWN,DEU,2831088.541
MYS,MEX,2827360.426
PHL,SGP,2772304.762
KOR,MYS,2665505.345
JPN,VNM,2640355.838
TWN,MEX,2628504.366
CHN,PHL,2611729.904
VNM,MEX,2608382.185
DEU,NLD,2435528.642
JPN,THA,2277139.851
MEX,USA,2204719.824
THA,CHN,2201373.439
DEU,HUN,2190628.684
CHN,PAK,2160209.167
TWN,PHL,2017028.769
NLD,USA,2002813.027
DEU,TWN,1919451.309
MYS,JPN,1879395.941
KOR,PHL,1811600.408
KOR,JPN,1801228.654
CHN,SAU,1769129.523
SGP,JPN,1760005.556
USA,NLD,1720601.959
MYS,THA,1714473.213
IRL,USA,1710317.498
FRA,BEL,1701417.308
PHL,DEU,1690402.852
IND,USA,1644357.269
DEU,USA,1621554.662
CHN,ESP,1568382.901
DEU,ROU,1498093.485
DEU,MYS,1485114.196
CHN,FRA,1459620.538
USA,DEU,1440067.816
NLD,DEU,1432848.441
CHN,IDN,1427279.382
USA,IRL,1386073.847
KOR,BRA,1370194.315
DEU,KOR,1321978.583
KHM,USA,1288112.141
PHL,USA,1259133.605
JPN,PHL,1254927.159
MYS,NLD,1196489.922
THA,SGP,1195116.309
FRA,SGP,1194136.176
AUT,CHN,1176103.402
USA,PHL,1168921.323
VNM,TWN,1157450.422
CHN,POL,1150584.345
THA,JPN,1140266.199
VNM,THA,1129346.616
SGP,PHL,1126884.544
THA,DEU,1117429.928
THA,TWN,1108267.343
NLD,JPN,1085922.913
PHL,TWN,1079985.475
SGP,MEX,1071744.809
JPN,DEU,1064599.516
CHN,CZE,1062624.518
HKG,KOR,1055180.652
DEU,FRA,1044333.811
CHN,GBR,1041414.8
DEU,POL,1034749.087
USA,THA,1002676.106
PHL,JPN,992332.118
CHN,TUR,977113.671
TWN,FRA,972524.683
HKG,MYS,967614.064
DEU,ITA,947049.79
NLD,HUN,923658.438
DEU,SGP,918328.082
THA,MYS,889047.728
VNM,MYS,887937.392
CHN,AUS,881541.93
TWN,BRA,867005.822
SGP,THA,865912.596
MYS,CZE,856510.865
CHN,GRC,839055.693
ITA,SGP,838756.427
DEU,HKG,836542.177
KOR,THA,836093.566
NLD,POL,833497.052
NLD,ITA,827118.346
DEU,PRT,806765.885
KOR,IDN,804015.653
MYS,PHL,803206.262
PHL,KOR,802402.818
DEU,AUT,800287.32
PHL,MYS,788897.009
THA,KOR,769738.124
VNM,BRA,762184.994
KOR,DEU,761513.747
JPN,IND,758368.527
SGP,MAR,755221.627
MYS,IND,744890.336
TWN,IDN,732415.69
CHN,RUS,728280.661
PHL,NLD,727367.187
DEU,JPN,723814.371
FRA,TWN,719161.193
AUT,DEU,718158.506
PHL,THA,709495.744
CHN,PRT,706802.153
DEU,CZE,692944.411
TWN,NLD,688422.329
VNM,IND,684296.374
DEU,ESP,664366.477
USA,CAN,658218.155
NLD,IRL,637037.395
CHN,ARE,624981.486
FRA,DEU,621343.457
PHL,MEX,620263.928
SGP,NLD,617110.208
KOR,MEX,615066.705
SGP,IND,613177.078
SGP,DEU,609056.642
USA,ISR,595068.855
VNM,KOR,580969.165
AUT,USA,559501.52
IDN,USA,548992.056
VNM,SGP,547204.233
HUN,DEU,517948.691
AUT,MYS,514807.367
MAR,HKG,513806.448
JPN,MEX,495908.585
FRA,KOR,491382.481
CAN,USA,484190.575
CHN,BEL,483918.243
MEX,CHN,483664.049
CHE,CHN,474665.02
KOR,NLD,460963.345
BEL,DEU,459658.964
HKG,NLD,455320.183
USA,FRA,452596.494
THA,PHL,447845.884
CHN,HUN,442513.039
TWN,GBR,436039.814
CHN,ITA,432348.168
TWN,BEL,430552.408
HKG,PHL,427747.468
CRI,MYS,424333.424
USA,GBR,422252.339
NLD,ROU,410086.813
PHL,IDN,406787.439
PRT,ESP,403654.128
MEX,IND,401285.754
MLT,DEU,400701.233
IRL,DEU,397436.649
CRI,CZE,397290.143
DEU,PHL,392543.617
DEU,SVK,390251.079
CHN,ZAF,386379.415
KOR,POL,376857.747
LAO,USA,376726.793
ITA,HKG,373259.269
GBR,USA,365074.312
THA,MEX,362292.553
TWN,POL,360195.072
ISR,JPN,359284.051
PHL,VNM,358246.943
MYS,FRA,355739.327
CHE,DEU,353888.997
JPN,IRL,353386.905
CHN,UZB,352730.165
CHN,OMN,352126.383
DEU,BEL,348555.37
USA,BRA,346003.022
GBR,CHN,344770.216
DEU,SWE,340744.847
GBR,DEU,339352.897
CHN,KHM,335609.79
CHN,BGR,335491.115
ITA,USA,333604.784
DEU,CHE,331581.129
FRA,ITA,329824.11
TWN,ISR,328127.854
CHN,UKR,325102.865
CHN,CHE,317174.137
IDN,SGP,311146.426
DEU,MEX,310952.024
CRI,SGP,309863.0
VNM,CZE,309119.281
VNM,NLD,307332.477
CRI,USA,307020.9
CHN,BGD,306271.091
SGP,PRT,303415.985
CHN,AUT,300204.768
DEU,THA,297099.977
SGP,IDN,296791.985
AUT,SGP,293055.782
MEX,TWN,290381.263
ITA,CHN,288977.035
CHN,MAR,285822.708
SGP,FRA,285092.386
FRA,CHN,277725.579
SGP,IRL,275997.029
IRL,BEL,275663.519
NLD,SGP,274222.414
GBR,THA,271098.768
MYS,BRA,270944.557
MAR,USA,268378.797
KOR,FRA,264572.088
JPN,NLD,264165.582
FRA,MLT,249715.159
MYS,POL,249121.485
TWN,AUT,239975.397
FRA,USA,238596.007
DEU,IND,235575.153
MEX,HKG,234598.43
ITA,MYS,233981.263
JPN,FRA,233969.906
VNM,DEU,233281.043
NLD,ESP,232406.001
MAR,CHN,232331.79
NLD,BEL,229242.884
CHN,COL,228371.455
THA,IND,223283.539
TUR,USA,222641.157
NLD,FRA,220186.353
JPN,IDN,218933.596
MYS,CAN,218421.325
DEU,GBR,218342.826
CHN,EGY,217664.059
PHL,IND,216783.132
MYS,IDN,216058.014
NLD,SWE,215009.121
CHE,USA,214854.796
MEX,SGP,214144.153
CHN,NGA,213962.899
NLD,THA,213558.122
SGP,BRA,213178.228
MYS,GBR,212275.739
HKG,IND,211297.38
TWN,PRT,210730.471
DEU,ISR,210559.423
CHN,ROU,208859.434
CZE,DEU,208243.475
CRI,CHN,206051.965
AUT,TWN,204040.695
MYS,BEL,203894.816
PRT,DEU,203668.467
SGP,ITA,199454.985
HKG,RUS,196435.246
BEL,ITA,195987.228
NLD,PRT,195926.924
ISR,IND,195692.345
TWN,CAN,194996.34
MAR,DEU,191624.817
CHN,CAN,190827.286
IRL,ISR,190742.04
HKG,CHN,190423.356
ITA,TWN,188434.517
FRA,MAR,187809.817
TWN,TUR,187398.63
MLT,HKG,186413.534
DEU,LTU,183898.702
VNM,JPN,182887.879
ISR,CHN,182587.309
CHN,ISR,180269.185
MEX,MYS,180201.522
VNM,CAN,179426.842
CHN,SVK,179283.488
SWE,CHN,178938.94
MLT,SGP,178881.247
CZE,AUT,178057.411
KOR,ISR,177729.135
HKG,HUN,177304.297
USA,AUT,177101.632
CHN,SVN,176756.611
MAR,SGP,174454.688
NLD,CZE,173956.55
CHN,ARG,172371.122
MLT,KOR,169860.889
USA,IND,168484.667
NLD,ISR,168135.899
JPN,AUT,167770.237
KOR,GBR,166998.873
DEU,DNK,166766.284
SVK,DEU,165615.25
JPN,BEL,164368.016
ESP,PRT,162960.21
BEL,NLD,161439.505
DEU,TUR,161214.382
ITA,PHL,160515.485
CHN,TUN,158977.299
DEU,IRL,158712.3
SVN,ITA,158446.257
IDN,CHN,157869.126
MLT,CHN,157415.11
TWN,CHE,157326.091
CHN,DOM,156620.044
THA,VNM,154125.301
CHE,HKG,153416.133
CHN,LAO,152878.649
GBR,PHL,152798.111
FRA,HKG,150138.741
CHN,DNK,149207.974
CHN,IRL,148442.718
POL,DEU,147369.963
FRA,NLD,145949.525
USA,ESP,145059.193
SGP,ISR,145010.876
NLD,HKG,142684.832
CHN,LTU,141308.133
KOR,CZE,140072.103
USA,CRI,139575.913
FIN,VNM,139270.304
THA,FRA,138729.073
